pl_name,hostname,ra,dec,discoverymethod,disc_facility,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_eqt,pl_trandep,pl_trandur,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_spectype
"Kepler-255 c","Kepler-255",296.0642702,45.9767647,"Transit","Kepler",2014,2.99000000,9.22000000,9.94604700000,0.0920000000,0.000000,1.900000,807.00,0.09945000,3.3800000,89.91000,5573.00,0.933000,0.867000,0.3386,4.516000,-0.18311,
"Kepler-257 b","Kepler-257",297.3159994,46.0232642,"Transit","Kepler",2014,2.61000000,7.32000000,2.38266700000,0.0340000000,0.000000,2.260000,1237.00,0.07943000,1.8120000,84.74000,5180.00,1.037000,0.916000,0.4000,4.360000,-0.37756,
"Kepler-258 b","Kepler-258",294.0684116,46.5791357,"Transit","Kepler",2014,4.06000000,15.50000000,13.19722000000,0.1030000000,0.000000,1.270000,642.00,0.21414000,3.4180000,88.71000,4942.00,0.915000,0.820000,0.3031,4.441000,-0.57541,
"Kepler-26 b","Kepler-26",284.9410627,46.5664505,"Transit","Kepler",2011,2.78000000,5.12000000,12.28000000000,0.0855100000,0.021000,1.260000,431.00,0.27947000,2.7096000,89.93000,3914.00,0.512000,0.544000,-0.1300,4.680000,-1.06048,"M0 V"
"Kepler-26 d","Kepler-26",284.9410627,46.5664505,"Transit","Kepler",2014,1.07000000,1.24000000,3.54391900000,0.0390000000,0.000000,5.560000,652.00,0.05070000,2.0120000,89.91000,4486.00,0.571000,0.593000,-0.2100,4.733000,-1.06048,"M0 V"
"Kepler-265 d","Kepler-265",290.5104788,41.2447430,"Transit","Kepler",2014,2.49000000,6.76000000,43.13061700000,0.2360000000,0.000000,2.410000,554.00,0.04478000,3.0660000,89.52000,5835.00,1.103000,0.970000,-0.1100,4.326000,0.00548,
"Kepler-265 e","Kepler-265",290.5104788,41.2447430,"Transit","Kepler",2014,2.59000000,7.22000000,67.83102400000,0.3190000000,0.000000,2.280000,476.00,0.05078000,7.0660000,89.98000,5835.00,1.103000,0.970000,-0.1100,4.326000,0.00548,
"Kepler-266 b","Kepler-266",294.4843821,44.1669355,"Transit","Kepler",2014,2.48000000,6.71000000,6.61833000000,0.0710000000,0.000000,2.420000,1066.00,0.05491000,3.7170000,89.82000,5885.00,1.028000,0.947000,0.1600,4.453000,0.01163,
"Kepler-267 b","Kepler-267",299.8305655,47.1575741,"Transit","Kepler",2014,1.98000000,37.90000000,3.35372800000,0.0370000000,0.000000,26.800000,615.00,0.12647000,1.4940000,89.84000,4258.00,0.555000,0.541571,-0.1800,4.729000,-1.22915,"M1 V"
"Kepler-267 c","Kepler-267",299.8305655,47.1575741,"Transit","Kepler",2014,2.13000000,5.18000000,6.87745000000,0.0600000000,0.000000,2.950000,484.00,0.16323000,1.3500000,88.26000,4258.00,0.555000,0.541571,-0.1800,4.729000,-1.22915,"M1 V"
