kepoi_name,kepler_name,koi_disposition,koi_pdisposition,ra,dec,koi_period,koi_prad,koi_depth,koi_duration,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_impact,koi_eccen,koi_model_snr,koi_score
"K00200.01","Kepler-74 b","CONFIRMED","CANDIDATE",293.092530,41.355518,7.340714946,14.31,8510.5,2.9987,1155.0,421.03,6056.00,1.4980,1.2680,4.191,0.568,0,856.30,0.9980
"K00201.01","Kepler-491 b","CONFIRMED","CANDIDATE",287.130580,42.350151,4.225384543,9,7563,2.82038,1111.0,360.46,5574.00,1.0540,1.0250,4.403,0.074,0,1457.80,0.9980
"K00205.01","Kepler-492 b","CONFIRMED","CANDIDATE",295.496670,42.537891,11.720123999,7.94,9763.3,3.0039,660.0,44.89,5215.00,0.7700,0.7920,4.564,0.623,0,707.30,0.9980
"K00206.01","Kepler-433 b","CONFIRMED","CANDIDATE",297.593660,40.977268,5.334082429,13.08,4676.5,6.2226,1495.0,1180.64,6332.00,1.9050,1.3730,4.016,0.045,0,653.40,1.0000
"K00208.01","Kepler-493 b","CONFIRMED","CANDIDATE",295.307530,38.881641,3.003879547,10.96,8538,3.2848,1438.0,1011.87,6311.00,1.1720,1.2530,4.398,0.338,0,80.80,1.0000
"K00209.01","Kepler-117 c","CONFIRMED","CANDIDATE",288.793030,48.040230,50.79034648,10.6,5671.1,10.8474,612.0,33.12,6163.00,1.4060,1.1020,4.185,0.058,0,508.80,0.9930
"K00213.01",,"FALSE POSITIVE","FALSE POSITIVE",295.712250,45.589771,48.118812545,45.18,69850.7,5.27958,490.0,13.60,6003.00,0.8720,0.9520,4.536,1.079,0,2145.10,0.0000
"K00214.01","Kepler-424 b","CONFIRMED","CANDIDATE",298.624880,48.577450,3.311864148,9.06,5976.5,1.4049,1116.0,365.94,5461.00,0.9370,1.0120,4.499,0.905,0,448.20,1.0000
"K00215.01",,"FALSE POSITIVE","FALSE POSITIVE",290.165130,51.467258,42.94386258,41.62,9207.9,3.7591,520.0,17.26,5750.00,0.9400,0.8080,4.400,1.285,0,273.00,0.0000
"K00219.01","Kepler-494 b","CONFIRMED","CANDIDATE",297.214080,41.664040,8.025118521,7.79,3120.4,5.3694,1093.0,336.73,6002.00,1.3690,1.0730,4.196,0.454,0,373.00,1.0000
"K00220.01","Kepler-119 b","CONFIRMED","CANDIDATE",295.946410,42.658920,2.422084188,3.55,1871.8,2.5613,1213.0,511.66,5598.00,0.8300,0.9280,4.565,0.058,0,423.70,1.0000
"K00220.02","Kepler-119 c","CONFIRMED","CANDIDATE",295.946410,42.658920,4.12511935,0.88,114.7,2.877,1016.0,252.18,5598.00,0.8300,0.9280,4.565,0.253,0,21.60,1.0000
"K00221.01","Kepler-495 b","CONFIRMED","CANDIDATE",285.930690,39.098141,3.413036353,6.62,3868.7,2.61366,1200.0,490.24,5392.00,1.0870,0.8880,4.314,0.046,0,480.70,1.0000
